society,pse
Evanston,19
SA European,13
Senegal,11
Bassari,9
Ankole,8
Hanunoo,8
Zulu,5
Yuendumu,6
Toro,6
Suku,6
Fang,5
Songe,5
Ijaw,4
Bete,4
SA Miners,1
San Foragers,1
