height,birth_month,siblings
63,12,4
67,7,2
61,9,0
67,8,2
57,6,1
64,2,3
62,3,0
66,1,1
72,1,2
64,12,1
61,9,2
68,4,2
66,10,1
77,11,1
68,9,3
65,6,4
73,9,1
62,1,3
65,2,1
67,8,4
62,4,1
64,5,1
66,5,1
62,10,1
67,12,0
65,1,1
60,12,1
70,1,1
68,12,1
65,5,1
73,2,1
62,12,3
59,2,3
70,2,0
69,6,3
73,8,1
67,7,1
63,6,0
65,7,1
62,2,1
74,7,4
70,7,1
64,12,1
69,8,1
69,5,1
